voltage_V,field_strength_V_per_m,energy_density_J_per_m3,candidate_residual_force_N,ehd_pressure_artifact_force_N,thermal_artifact_force_N,measured_force_N
3500.0,175000.0,0.13557975088350002,2.440435515903e-07,1.4685506531920138e-05,1.4699999999999998e-11,1.492717310421926e-05
3541.6666666666665,177083.3333333333,0.13882705500755207,2.4988869901359373e-07,1.5037242728617203e-05,1.5052083333333333e-11,1.52881204246757e-05
3583.333333333333,179166.66666666666,0.14211278876620834,2.5580301977917496e-07,1.539314148385506e-05,1.5408333333333326e-11,1.5648021107287166e-05
3625.0,181250.0,0.14543695215946875,2.6178651388704373e-07,1.575320279763372e-05,1.576875e-11,1.601503006850822e-05
3666.6666666666665,183333.3333333333,0.14879954518733332,2.6783918133719994e-07,1.6117426669953168e-05,1.613333333333333e-11,1.6386243477941512e-05
3708.333333333333,185416.66666666666,0.15220056784980207,2.739610221296437e-07,1.6485813100813403e-05,1.6502083333333325e-11,1.6760683687378442e-05
3750.0,187500.0,0.155640020146875,2.80152036264375e-07,1.6858362090214444e-05,1.6875e-11,1.7139861771696765e-05
3791.6666666666665,189583.3333333333,0.15911790207855206,2.8641222374139364e-07,1.723507363815627e-05,1.7252083333333333e-11,1.7521306143011976e-05
3833.333333333333,191666.66666666666,0.16263421364483333,2.9274158456069996e-07,1.7615947744638892e-05,1.7633333333333333e-11,1.7907860365908837e-05
3875.0,193750.0,0.16618895484571877,2.9914011872229376e-07,1.800098440966231e-05,1.8018750000000002e-11,1.829998311071279e-05
3916.6666666666665,195833.3333333333,0.1697821256812083,3.056078262261749e-07,1.839018363322652e-05,1.8408333333333332e-11,1.869243519891811e-05
3958.333333333333,197916.66666666666,0.1734137261513021,3.121447070723438e-07,1.8783545415331524e-05,1.8802083333333333e-11,1.9092814699542356e-05
4000.0,200000.0,0.177083756256,3.187507612608e-07,1.9181069755977322e-05,1.9200000000000002e-11,1.949719431801341e-05
4041.6666666666665,202083.3333333333,0.18079221599530207,3.2542598879154374e-07,1.9582756655163913e-05,1.9602083333333333e-11,1.9906207752383587e-05
4083.333333333333,204166.66666666666,0.1845391053692083,3.3217038966457493e-07,1.9988606112891294e-05,2.0008333333333335e-11,2.0321596059342648e-05
4125.0,206250.0,0.18832442437771876,3.3898396387989376e-07,2.0398618129159474e-05,2.0418749999999995e-11,2.0735811553678647e-05
4166.666666666666,208333.33333333328,0.19214817302083326,3.458667114374998e-07,2.0812792703968442e-05,2.083333333333333e-11,2.1157923923631196e-05
4208.333333333333,210416.66666666666,0.19601035129855207,3.528186323373937e-07,2.1231129837318208e-05,2.125208333333333e-11,2.158656817833451e-05
4250.0,212500.0,0.199910959210875,3.5983972657957497e-07,2.1653629529208772e-05,2.1674999999999996e-11,2.2012778402846227e-05
4291.666666666666,214583.33333333328,0.203849996757802,3.669299941640436e-07,2.208029177964012e-05,2.2102083333333324e-11,2.2448718907024432e-05
4333.333333333333,216666.66666666666,0.20782746393933335,3.740894350908e-07,2.251111658861227e-05,2.2533333333333327e-11,2.2883361321676383e-05
4375.0,218750.0,0.21184336075546875,3.813180493598437e-07,2.2946103956125216e-05,2.2968749999999998e-11,2.3327034099119323e-05
4416.666666666666,220833.33333333328,0.21589768720620825,3.8861583697117476e-07,2.3385253882178946e-05,2.3408333333333324e-11,2.3771993083373632e-05
4458.333333333333,222916.66666666666,0.21999044329155207,3.959827979247937e-07,2.3828566366773473e-05,2.3852083333333328e-11,2.42238949506298e-05
4500.0,225000.0,0.2241216290115,4.034189322207e-07,2.4276041409908796e-05,2.43e-11,2.468116525840441e-05
4541.666666666666,227083.33333333328,0.228291244366052,4.1092423985889353e-07,2.4727679011584903e-05,2.4752083333333326e-11,2.5135173362680747e-05
4583.333333333333,229166.66666666666,0.23249928935520833,4.1849872083937493e-07,2.518347917180182e-05,2.5208333333333327e-11,2.5602871948261617e-05
4625.0,231250.0,0.23674576397896877,4.261423751621438e-07,2.5643441890559526e-05,2.566875e-11,2.6070085405676335e-05
4666.666666666666,233333.33333333328,0.24103066823733324,4.3385520282719984e-07,2.6107567167858017e-05,2.6133333333333326e-11,2.6540260204107155e-05
4708.333333333333,235416.66666666666,0.2453540021303021,4.416372038345437e-07,2.657585500369731e-05,2.6602083333333328e-11,2.7014626693906407e-05
4750.0,237500.0,0.249715765657875,4.49488378184175e-07,2.7048305398077394e-05,2.7074999999999998e-11,2.7497965110277e-05
4791.666666666666,239583.33333333328,0.254115958820052,4.574087258760936e-07,2.7524918350998267e-05,2.755208333333333e-11,2.7981295643539566e-05
4833.333333333333,241666.66666666666,0.2585545816168333,4.6539824691029997e-07,2.800569386245994e-05,2.8033333333333324e-11,2.8471585495126285e-05
4875.0,243750.0,0.2630316340482188,4.734569412867937e-07,2.849063193246241e-05,2.8518749999999998e-11,2.896416109679025e-05
4916.666666666666,245833.33333333328,0.2675471161142082,4.815848090055748e-07,2.897973256100566e-05,2.9008333333333323e-11,2.946454993612721e-05
4958.333333333333,247916.66666666666,0.2721010278148021,4.897818500666437e-07,2.9472995748089714e-05,2.950208333333333e-11,2.9962328388984746e-05
5000.0,250000.0,0.27669336915000003,4.980480644700001e-07,2.9970421493714564e-05,3e-11,3.046645256319932e-05
