time_s,drive_on,instant_candidate_residual_N,delayed_thermal_artifact_N,total_force_N
254.0,1.0,3.187507612608e-07,2.7418592348963053e-08,3.4625461565863856e-07
255.0,1.0,3.187507612608e-07,2.7450859944601015e-08,3.4602821180371675e-07
256.0,1.0,3.187507612608e-07,2.74827241952935e-08,3.4568607746445795e-07
257.0,1.0,3.187507612608e-07,2.751419014285233e-08,3.478456325672217e-07
258.0,1.0,3.187507612608e-07,2.7545262766066676e-08,3.4323029427016126e-07
259.0,1.0,3.187507612608e-07,2.7575946981490842e-08,3.4529267979238214e-07
260.0,1.0,3.187507612608e-07,2.7606247644222206e-08,3.4772508473125695e-07
261.0,1.0,3.187507612608e-07,2.7636169548669427e-08,3.451587612587807e-07
262.0,1.0,3.187507612608e-07,2.766571742931106e-08,3.4319886527157106e-07
263.0,1.0,3.187507612608e-07,2.7694895961444672e-08,3.4778276790875813e-07
264.0,1.0,3.187507612608e-07,2.7723709761926614e-08,3.487206602836097e-07
265.0,1.0,3.187507612608e-07,2.775216338990253e-08,3.464129342354165e-07
266.0,1.0,3.187507612608e-07,2.7780261347528746e-08,3.426093314113897e-07
267.0,1.0,3.187507612608e-07,2.780800808068464e-08,3.479707088348823e-07
268.0,1.0,3.187507612608e-07,2.7835407979676078e-08,3.4326639347763666e-07
269.0,1.0,3.187507612608e-07,2.7862465379930128e-08,3.4723082519442646e-07
270.0,1.0,3.187507612608e-07,2.7889184562681e-08,3.448650181739967e-07
271.0,1.0,3.187507612608e-07,2.7915569755647487e-08,3.4434665244491355e-07
272.0,1.0,3.187507612608e-07,2.7941625133701893e-08,3.458085663603425e-07
273.0,1.0,3.187507612608e-07,2.7967354819530623e-08,3.463515209674761e-07
274.0,1.0,3.187507612608e-07,2.7992762884286487e-08,3.454551076443136e-07
275.0,1.0,3.187507612608e-07,2.8017853348232906e-08,3.4794602116546324e-07
276.0,1.0,3.187507612608e-07,2.8042630181379995e-08,3.459012526852623e-07
277.0,1.0,3.187507612608e-07,2.8067097304112744e-08,3.4877824030825636e-07
278.0,1.0,3.187507612608e-07,2.8091258587811334e-08,3.4740436617989827e-07
279.0,1.0,3.187507612608e-07,2.8115117855463693e-08,3.4547076470307107e-07
280.0,1.0,3.187507612608e-07,2.8138678882270396e-08,3.451575603754058e-07
281.0,1.0,3.187507612608e-07,2.8161945396242016e-08,3.4361771405894716e-07
282.0,1.0,3.187507612608e-07,2.818492107878899e-08,3.4751714869532263e-07
283.0,1.0,3.187507612608e-07,2.820760956530413e-08,3.462491957316014e-07
284.0,1.0,3.187507612608e-07,2.8230014445737824e-08,3.422363846504108e-07
285.0,1.0,3.187507612608e-07,2.82521392651661e-08,3.4593147078042727e-07
286.0,1.0,3.187507612608e-07,2.8273987524351525e-08,3.452226807266416e-07
287.0,1.0,3.187507612608e-07,2.8295562680297132e-08,3.5019767912543843e-07
288.0,1.0,3.187507612608e-07,2.8316868146793416e-08,3.436620721838068e-07
289.0,1.0,3.187507612608e-07,2.8337907294958497e-08,3.4420596695629036e-07
290.0,1.0,3.187507612608e-07,2.8358683453771515e-08,3.493293840007829e-07
291.0,1.0,3.187507612608e-07,2.837919991059937e-08,3.498434874863273e-07
292.0,1.0,3.187507612608e-07,2.839945991171688e-08,3.456602552950656e-07
293.0,1.0,3.187507612608e-07,2.8419466662820418e-08,3.459060562780026e-07
294.0,1.0,3.187507612608e-07,2.8439223329535163e-08,3.4842245538344176e-07
295.0,1.0,3.187507612608e-07,2.8458733037915972e-08,3.4255529470482537e-07
296.0,1.0,3.187507612608e-07,2.8477998874942022e-08,3.435063727667309e-07
297.0,1.0,3.187507612608e-07,2.8497023889005247e-08,3.4668631834810383e-07
298.0,1.0,3.187507612608e-07,2.851581109039268e-08,3.503663534834509e-07
299.0,1.0,3.187507612608e-07,2.8534363451762772e-08,3.4641366453622924e-07
300.0,1.0,3.187507612608e-07,2.8552683908615736e-08,3.4750531875288606e-07
301.0,1.0,3.187507612608e-07,2.857077535975804e-08,3.4958911516568606e-07
302.0,1.0,3.187507612608e-07,2.8588640667761064e-08,3.515531713951174e-07
303.0,1.0,3.187507612608e-07,2.8606282659414053e-08,3.462033469739174e-07
304.0,1.0,3.187507612608e-07,2.8623704126171378e-08,3.473407919395045e-07
305.0,1.0,3.187507612608e-07,2.8640907824594235e-08,3.510357795280799e-07
306.0,1.0,3.187507612608e-07,2.8657896476786807e-08,3.443642591872039e-07
307.0,1.0,3.187507612608e-07,2.8674672770826973e-08,3.494805961727346e-07
308.0,1.0,3.187507612608e-07,2.8691239361191636e-08,3.454053695572691e-07
309.0,1.0,3.187507612608e-07,2.870759886917674e-08,3.4766330486418303e-07
310.0,1.0,3.187507612608e-07,2.8723753883312027e-08,3.4698927704931144e-07
311.0,1.0,3.187507612608e-07,2.8739706959770627e-08,3.4557444501916816e-07
312.0,1.0,3.187507612608e-07,2.8755460622773496e-08,3.4554001802825693e-07
313.0,1.0,3.187507612608e-07,2.8771017364988825e-08,3.480746073542963e-07
314.0,1.0,3.187507612608e-07,2.8786379647926467e-08,3.495282195650518e-07
315.0,1.0,3.187507612608e-07,2.8801549902327388e-08,3.4729283875675036e-07
316.0,1.0,3.187507612608e-07,2.8816530528548293e-08,3.477075181068147e-07
317.0,1.0,3.187507612608e-07,2.883132389694144e-08,3.4872443329032356e-07
318.0,1.0,3.187507612608e-07,2.884593234822967e-08,3.456534560630037e-07
319.0,1.0,3.187507612608e-07,2.8860358193876802e-08,3.490905044715027e-07
320.0,1.0,3.187507612608e-07,2.8874603716453344e-08,3.492640511713728e-07
321.0,1.0,3.187507612608e-07,2.8888671169997675e-08,3.528466850282985e-07
322.0,1.0,3.187507612608e-07,2.8902562780372705e-08,3.4690111566005353e-07
323.0,1.0,3.187507612608e-07,2.8916280745618045e-08,3.4675087840308176e-07
324.0,1.0,3.187507612608e-07,2.892982723629782e-08,3.492185202402453e-07
325.0,1.0,3.187507612608e-07,2.8943204395844098e-08,3.4933217399446836e-07
326.0,1.0,3.187507612608e-07,2.8956414340896047e-08,3.466370012949426e-07
327.0,1.0,3.187507612608e-07,2.8969459161634844e-08,3.469138950685747e-07
328.0,1.0,3.187507612608e-07,2.8982340922114408e-08,3.488153638593505e-07
329.0,1.0,3.187507612608e-07,2.8995061660587978e-08,3.460906544399186e-07
330.0,1.0,3.187507612608e-07,2.9007623389830625e-08,3.469373166746006e-07
331.0,1.0,3.187507612608e-07,2.902002809745774e-08,3.479499748929946e-07
332.0,1.0,3.187507612608e-07,2.903227774623952e-08,3.49774916376684e-07
333.0,1.0,3.187507612608e-07,2.904437427441153e-08,3.4658593830285247e-07
334.0,1.0,3.187507612608e-07,2.9056319595981383e-08,3.4412231193272e-07
335.0,1.0,3.187507612608e-07,2.9068115601031616e-08,3.439856819267952e-07
336.0,1.0,3.187507612608e-07,2.907976415601872e-08,3.4531169928340646e-07
337.0,1.0,3.187507612608e-07,2.9091267104068488e-08,3.452156929284686e-07
338.0,1.0,3.187507612608e-07,2.910262626526763e-08,3.475441660088278e-07
339.0,1.0,3.187507612608e-07,2.9113843436951787e-08,3.4548684439055656e-07
340.0,1.0,3.187507612608e-07,2.912492039398989e-08,3.464701717351475e-07
341.0,1.0,3.187507612608e-07,2.9135858889065016e-08,3.463384483799009e-07
342.0,1.0,3.187507612608e-07,2.9146660652951703e-08,3.470164061920557e-07
343.0,1.0,3.187507612608e-07,2.9157327394789807e-08,3.5055309731863604e-07
344.0,1.0,3.187507612608e-07,2.9167860802354932e-08,3.4924251724201594e-07
345.0,1.0,3.187507612608e-07,2.9178262542325496e-08,3.4796128263367746e-07
346.0,1.0,3.187507612608e-07,2.9188534260546426e-08,3.4701724296018474e-07
347.0,1.0,3.187507612608e-07,2.9198677582289595e-08,3.4708297352984356e-07
348.0,1.0,3.187507612608e-07,2.9208694112510975e-08,3.4861494831321484e-07
349.0,1.0,3.187507612608e-07,2.921858543610459e-08,3.4913768484360917e-07
350.0,1.0,3.187507612608e-07,2.922835311815328e-08,3.4616387936675204e-07
351.0,1.0,3.187507612608e-07,2.9237998704176364e-08,3.480617214762048e-07
352.0,1.0,3.187507612608e-07,2.9247523720374157e-08,3.4393504584384807e-07
353.0,1.0,3.187507612608e-07,2.925692967386948e-08,3.4843111850301066e-07
354.0,1.0,3.187507612608e-07,2.926621805294611e-08,3.495412777976635e-07
355.0,1.0,3.187507612608e-07,2.9275390327284284e-08,3.474660143343225e-07
