frequency_Hz,frequency_offset_Hz,lorentzian_resonance_gain,candidate_residual_force_N,mechanical_artifact_force_N,measured_force_N
2450112500.0,112500.0,0.4515704344555201,1.1020285261769989e-07,6.78316767194838e-09,1.1564373973485511e-07
2450120000.0,120000.0,0.4198462603781239,1.024607725045832e-07,6.880444613333819e-09,1.0996523606101951e-07
2450127500.0,127500.0,0.3906326263658313,9.533137350536413e-08,6.9782706388089866e-09,1.046202682163865e-07
2450135000.0,135000.0,0.36378567402621803,8.877954790702939e-08,7.076572224297008e-09,9.707364307577528e-08
2450142500.0,142500.0,0.33914537061625305,8.276624075059896e-08,7.1752706366910874e-09,8.535893237009385e-08
2450150000.0,150000.0,0.3165458141067898,7.725096471566386e-08,7.274281824966237e-09,8.513397999869061e-08
2450157500.0,157500.0,0.2958222651533446,7.219351622750966e-08,7.373516329363455e-09,7.971109970333827e-08
2450165000.0,165000.0,0.27681573134231996,6.755509421284609e-08,7.472879211151498e-09,7.585575399474296e-08
2450172500.0,172500.0,0.2593757697011075,6.3298984034326e-08,7.572270005558462e-09,7.410367340318688e-08
2450180000.0,180000.0,0.24336202457743591,5.939093280008334e-08,7.67158270053033e-09,6.293603894700418e-08
2450187500.0,187500.0,0.2286448909627655,5.579931124353018e-08,7.770705744012172e-09,6.238781013716014e-08
2450195000.0,195000.0,0.21510559077438013,5.249513233950939e-08,7.869522082455384e-09,6.154646706755149e-08
2450202500.0,202500.0,0.20263586984042314,4.945197735544662e-08,7.96790923322667e-09,5.425669778976541e-08
2450210000.0,210000.0,0.1911374629427368,4.6645865298504846e-08,8.065739393527048e-09,5.766350278813891e-08
2450217500.0,217500.0,0.18052142949514144,4.405509079215225e-08,8.162879588317384e-09,5.295468360587095e-08
2450225000.0,225000.0,0.17070742979025955,4.1660047448866716e-08,8.259191859587343e-09,5.161240728014087e-08
2450232500.0,232500.0,0.16162298829529143,3.94430480822204e-08,8.354533499092865e-09,4.665569425826968e-08
2450240000.0,240000.0,0.15320277385713663,3.738814904558119e-08,8.448757326421096e-09,4.746443375193471e-08
2450247500.0,247500.0,0.14538791506100118,3.5480983149795596e-08,8.541712013918244e-09,4.615963827569192e-08
2450255000.0,255000.0,0.1381253609898543,3.370860366065632e-08,8.633242459634324e-09,4.280760216056498e-08
2450262500.0,262500.0,0.1313672922252011,3.205934055743888e-08,8.7231902089988e-09,4.125133255183507e-08
2450270000.0,270000.0,0.12507058335712157,3.052266936194261e-08,8.811393925443981e-09,3.9874749765950044e-08
2450277500.0,277500.0,0.11919631598491601,2.908909228943855e-08,8.897689909641454e-09,3.6260091669601244e-08
2450285000.0,285000.0,0.11370933979438551,2.775003113241007e-08,8.981912666414774e-09,3.643688643834414e-08
2450292500.0,292500.0,0.10857787851216198,2.6497731096248126e-08,9.063895517745546e-09,3.5256581549088954e-08
2450300000.0,300000.0,0.1037731771621213,2.532517471445349e-08,9.143471259606952e-09,3.523543370276743e-08
2450307500.0,307500.0,0.09926918694360054,2.4226004945197712e-08,9.22047285964891e-09,3.544612629866721e-08
2450315000.0,315000.0,0.09504228411824035,2.319445656746974e-08,9.294734192032965e-09,3.037211859554588e-08
