geometry,geometry_sign,voltage_V,energy_density_J_per_m3,candidate_residual_force_N,non_inverting_artifact_force_N,measured_force_N
symmetric_control,0,4430.379746835443,0.21724042762938633,0.0,8.235766681897207e-06,8.233736546085748e-06
symmetric_control,0,4493.67088607595,0.22349163177137485,0.0,8.47275507009058e-06,8.476852581392307e-06
symmetric_control,0,4556.962025316456,0.22983150547566095,0.0,8.713104995705128e-06,8.716675332509272e-06
symmetric_control,0,4620.2531645569625,0.2362600487422449,0.0,8.956816458740865e-06,8.959088556107976e-06
symmetric_control,0,4683.544303797468,0.24277726157112645,0.0,9.203889459197777e-06,9.202047758402159e-06
symmetric_control,0,4746.835443037975,0.24938314396230574,0.0,9.454323997075877e-06,9.456034035724472e-06
symmetric_control,0,4810.126582278482,0.25607769591578283,0.0,9.708120072375161e-06,9.709399325194157e-06
symmetric_control,0,4873.4177215189875,0.2628609174315575,0.0,9.965277685095624e-06,9.966162776344032e-06
symmetric_control,0,4936.708860759494,0.26973280850962994,0.0,1.0225796835237272e-05,1.0228296165771359e-05
symmetric_control,0,5000.0,0.27669336915000003,0.0,1.0489677522800096e-05,1.049094826508582e-05
