voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
4415.568561872909,220778.42809364546,0.21579034444976516,1.0789517222488258e-05,3.8994491449200786e-05,0.0,4.978400867168904e-05,5.394758611244129e-10,4.978454814755017e-05,5.39475861124413e-09,4.978940343030028e-05,5.39475861124413e-08,4.983795625780148e-05
4515.8996655518395,225794.98327759196,0.22570818656564495,1.1285409328282247e-05,4.0786699578662434e-05,0.0,5.207210890694468e-05,5.642704664141124e-10,5.207267317741109e-05,5.642704664141124e-09,5.2077751611608824e-05,5.642704664141124e-08,5.212853595358609e-05
4616.2307692307695,230811.53846153847,0.23584885163073352,1.1792442581536676e-05,4.26191730295858e-05,0.0,5.441161561112248e-05,5.896221290768337e-10,5.4412205233251556e-05,5.896221290768338e-09,5.441751183241325e-05,5.896221290768338e-08,5.4470577824030165e-05
4716.561872909699,235828.0936454849,0.2462123396450307,1.2310616982251534e-05,4.449191180197089e-05,0.0,5.6802528784222426e-05,6.155308491125768e-10,5.6803144315071535e-05,6.1553084911257684e-09,5.680868409271355e-05,6.155308491125768e-08,5.686408186913368e-05
4816.892976588629,240844.64882943142,0.2567986506085368,1.2839932530426837e-05,4.6404915895817716e-05,0.0,5.9244848426244554e-05,6.41996626521342e-10,5.9245490422871075e-05,6.41996626521342e-09,5.925126839250977e-05,6.41996626521342e-08,5.9309048088896686e-05
4917.224080267559,245861.20401337792,0.2676077845212516,1.338038922606258e-05,4.8358185311126273e-05,0.0,6.173857453718886e-05,6.69019461303129e-10,6.173924355665016e-05,6.690194613031291e-09,6.17452647318019e-05,6.690194613031291e-08,6.180547648331917e-05
5017.555183946488,250877.7591973244,0.2786397413831752,1.3931987069158759e-05,5.035172004789655e-05,0.0,6.42837071170553e-05,6.96599353457938e-10,6.428440371640877e-05,6.965993534579381e-09,6.429067311058989e-05,6.965993534579381e-08,6.43533670524011e-05
5117.886287625418,255894.3143812709,0.2898945211943076,1.4494726059715377e-05,5.238552010612856e-05,0.0,6.688024616584394e-05,7.24736302985769e-10,6.688097090214692e-05,7.247363029857691e-09,6.68874935288738e-05,7.24736302985769e-08,6.695271979614252e-05
5218.217391304348,260910.8695652174,0.30137212395464874,1.5068606197732437e-05,5.445958548582231e-05,0.0,6.952819168355475e-05,7.534303098866219e-10,6.952894511386463e-05,7.53430309886622e-09,6.953572598665361e-05,7.53430309886622e-08,6.960353471454341e-05
5318.548494983277,265927.42474916385,0.3130725496641985,1.5653627483209924e-05,5.657391618697777e-05,0.0,7.222754367018768e-05,7.826813741604963e-10,7.222832635156185e-05,7.826813741604964e-09,7.223537048392929e-05,7.826813741604964e-08,7.230581180760373e-05
